Category,Subcategory,Text
Other,Other,violation reported
Meeting,Annual Meeting,meeting
Resale Certificate,Resale certificate,"SST0006000 - add code for the resale certificate Jamie called on behalf of Evan Bailey owner of 6860 Aquene Loop NE, Bremerton, WA, 98311 called from she wanted the resale certificate for Evan.  "
Documents,Meeting Minutes,CRA0005400 - Board meeting minutes The board meeting minutes for the December 2018 and February 2019 meetings appear to be uploaded to the portal incorrectly and give me an error when I try to access them.  I sent an email about this to 2/21 and 2/25 and have received no reply. 
Payment,Delinquency Letter,PMN000C100 - Delinquency letter Received a delinquency letter and also that want to confirm if HOA account is on payment plan. 
Documents,Other,ARC Form Download Unable to download pdf files of ARC documents from links provided on ARC Request  page. 
Payment,Ledger/Statement,TCH0003800 - Outstanding Dues Chhoeuy called us regarding her dues and the total outstanding amount on her HOA account. 
Payment,payment,ACH Refund Gupta wanted to have the refund for the credit that he has on his HOA account. 
Information,Keys,Mailbox Key Mingchu wanted to know the process to get a new key for the mailbox as the one they had was left in China unfortunately. 
Payment,payment,"PMN000D500 - Unit D6 HOA Payment Sheryl was sorry for the delay in the HOA payment. She mentioned that Larry had sent a check recently that they just discovered had not cleared. He was in for spinal fusion and only now catching up. 

All this on top of the government shutdown in January didn't help.

She just needs another week to take care of it. "
Payment,Make Payment,"WDS5008400-HOA dues payment She came to know from her bank that the payment she made on January 10th, 2019 was returned. She wanted to make the payment for the complete year 2019 HOA dues via credit card. "
Payment,Question,LMH0000400 - Payment Ryan wanted to make a payment for his HOA dues. He wanted to check if there is an online payments option available. 
Information,RIS,Confirmation of mailing address Vladimir called in response to an email that was sent to her to confirm her mailing address. 
Payment,Make Payment,PSD0104100 - Make a payment She wanted to make a payment. 
Payment,Question,Balance Enquiry Jonathan called to check his HOA account balance. He also wanted to know how much he has to pay in total for the remaining part of the year. 
Information,Other,T-Mobile Contact Number Michael wanted a contact number for someone from T-Mobile.  
Payment,Question,HOA Account Balance Check Scott called to check if we have received his check for the HOA dues for the month of August 2018. 
Payment,Question,Balance - HOA Dues Sara called in and wanted to know regarding her HOA dues. 
Information,Other,Information regarding Inspection  Heather called in to confirm if we have someone from our company do the inspection. 
Meeting,Special Meeting,"Confirmation to attend the meeting Kathleen confirmed that she would attend the Special Meeting of the owners of Woodside HOA, which is going to be held on February 27th, 2019. "
Payment,Delinquency Letter,WDS5004700- Received a delinquency letter Joshua called us to report that he has received a delinquency letter although he made the payments for the HOA dues. He wanted to know the current status of the HOA account. 
Information,Keys,Dmc: sr aug keys 
Documents,Insurance Certificate,CPC0002901 - Master Insuarance Copy Brad called and wanted the copy of Master Insurance to be forwarded to his mortgage company. 
Payment,Make Payment,SVT5111B00 - Make Payment Brianna wanted to make her HOA payment on call. 
Website Access,Registration / Access Code,Demo Homeowner Association SE 42nd PL Issaquah WA 98029 - Registered Incorrect Information Incorrect 
Information,Other,DMC: Service Request DMC: Description 
Website Access,Registration / Access Code,"Woodside Homeowners Association 16919 165th Pl SE Renton WA 98058 - Registered Incorrect Information Hi, My name is Lishan Yen. Please correct it. Thank you. "
Website Access,Registration / Access Code,"Woodside Homeowners Association 16919 165th Pl SE Renton WA 98058 - Registered Incorrect Information Hi, My name is Lishan Yen. Please correct it. Thank you. "
Maintenance,Other,DMC: Maintenance for my neghbor DMC:Please fix  his lights 
Payment,Question,"Check the status of the HOA account Carl Phillips, Anita's father called to check if her HOA account is current and setup on automatic payments. "
Resale Certificate,Resale certificate,"WDS6005700 - Resale Certificate Nancee on behalf of Todd Wilson owner of 16108 167th Ave SE, Renton, WA 98058 called from (206) 799-8885, she wanted to order Resale certificate. Her email is "
Payment,ACH Setup,ILH0007101 - ACH Setup He wants to setup his HOA account on autopay (ACH). 
Website Access,Registration / Access Code,"Woodside Homeowners Association 16532 164th Pl SE Renton WA 98058 - Registered Incorrect Information Name should be ""Imelda Ngonevolalath"" "
Payment,Make Payment,CPC0000600 - Make Payment She wanted to know whether we have received the check or no. 
Violations,Violation,"WDS6006100 - Leniency on Violation Fees The homeowner called to inform us that he received the violation letter and he had been living in the neighborhood for 15 years,so he wanted leniency on the violation fine. "
Information,Keys,DMC: Information  Information Keys 
Information,Keys,DMC Service Request I cant login the website. 
Information,Rental Cap,DMC: Service Request for Rental Cap Rental Cap 
Payment,Question,SVT5136D00 - Payment questions She called in to check that have we received the HOA dues for the month of October. 
Other,Other,WDS2001000 - Incorrect Violation Letter  Karen called to inform that the violation letter she had received was wrongly sent at her address. 
Payment,Question,WDS3006300 - ACH Deduction Confirmation Jonathan called and wanted to know whether the ACH had been processed or not for the month of February. 
Information,Other,"CRA0002200 - HOA Information Lawrence called and wanted to know the name of his association ,the email address of the company that manages it and the contact person. "
Payment,ACH Setup,WDS5001501 - ACH Setup. Meghan gave us a call and wanted to confirm whether her payment mode was setup on ACH. 
Maintenance,Landscaping,"PMN000C300 - Permission to Cut or trim the trees We have previously requested that the trees in front of our property be removed, along with the trees that are facing the grass side of our condo.  They block all sunlight, and we would like to see the sun this summer, please.  Alternatively, we will trim them to the best of our ability if the HOA cannot have them removed. "
Website Access,Registration / Access Code,WDS6001901- Website Access Hugh called us and informed that he is the new owner of the  property. He wanted the access code of propVIVO's website. 
Information,Other,WDS1001500 - Violation Fines Mercy called and wanted to know the status of total balance shown in the ledger and also she wanted to know about the details of the violation fines mentioned in her ledger. 
Payment,Coupon Book,WDS1003300 - Coupon books she wanted to know when are we sending the coupon books and are we send it to all the Homeowners. 
Payment,Question,Payment Inquiry She wanted to know that why she has been charged for $606.32 
Information,Information Update,Name Change You appear to have my partner's name listed as Arthur Gisin. I see this on the recent letter sent about website registration. His name as is registered on the documents with the county is Arthur Butler. Can you please correct that in your information? 
Payment,ACH Setup,PSD0105001 - ACH Setup She called in as she wanted to her HOA account on autopay. 
Website Access,Registration / Access Code,Woodside Homeowners Association 16732 Woodside Dr SE Renton WA 98058 - Registered Incorrect Information My name is Carrie Murillo-Oaks 
Payment,ACH Setup,WDS1004600 - Auto pay set up I want to set up my account on Auto pay. 
Payment,Coupon Book,PSD0202502 - Coupon books I want to know when will i receive the coupon books 
Payment,Question,MOP0020501 - Payment Questions She wanted to make a payment for her HOA dues and also wanted to know the outstanding balance and the modes of payments. 
Payment,Question,WDS5005600 - Balance She called in to know the balance on the HOA account. 
Website Access,Registration / Access Code,Website Access Code Paul wanted to know his access code for the website. 
Website Access,Login Issues,Website Login He was facing some issue with the website login. 
Payment,ACH Setup,ACH payment  She wanted to know when do we process the ACH payment for the HOA dues 
Website Access,Registration / Access Code,"Woodside Homeowners Association 16919 165th Pl SE Renton WA 98058 - Registered Incorrect Information Hi, My name is Lishan Yen. Please correct it. Thank you. "
Website Access,Registration / Access Code,"Woodside Homeowners Association 16919 165th Pl SE Renton WA 98058 - Registered Incorrect Information Hi, My name is Lishan Yen. Please correct it. Thank you. "
Payment,Question,WDS1003400 - Payment questions. He called in to ask whether he can make payments on website. 
Documents,Governing Documents,"SVT5123C00 -  Water Heater Leak / Mold Regarding water leak & black mold, please send a copy of the following documents to all parties copied in this email.
1.    CCR - regulations
2.    Insurance Certificate of Coverage 
Extent of damage is from water heater closet interior floor & wall to kitchen floor directly adjacent to the heater closet. "
Payment,Question,WDS5002901 - Payment option I want to inform you that i have changed my Mailing address. 
Payment,Delinquency Letter,WDS5005200 - Delinquency letter He received the Letter which stated that he is delinquent for his HOA Dues. while he as made the payment for the whole year.   
Payment,Coupon Book,WDS3010500 - Coupon books I received the coupon booklet and i will be making the payment in one go so will i get a discount. 
Payment,Question,WDS1008400- Payment Questions Edward wanted to know why the monthly dues were increased. 
Documents,Financials,DMC: Service Request for Financials test 
Payment,Question,KLW0001300 -  Payment processed in the Month of December Wanted to know the reason to process $194.77 in the month of Dec while his account was already in prepaid 
Payment,Make Payment,PSD0102100 - Make a payment. She wanted to make the payment on credit card for this year as well as next complete year towards her HOA dues. 
Payment,Ledger/Statement,CPC0001800 - HOA statement She said she was sick and was not able to make the payments. She said she cant make the account current by December 10th but can make a part payment and can make the account current by the end of this month. 
Maintenance,General Repairs,"Water dripping from roof top,  in front of the building Water is dripping in front of the building (from the roof top edge) "
Maintenance,Other,PMN000J100 - Treadmill Repair. Sanjay called in and said that the treadmill in cabana needs service as it's making some kind of noise. 
Payment,Question,PSD0206200 - Payment questions. She called in regarding the violation letters she received. 
